t,start,end,cause,vn,ws,ue,rain,blh_max,blh_before,rh,hour,south_before,south_after
2017-02-12 06:00:00,200.4,77.0,unclear,1.070724049565594,1.7484615384615385,1.322722127602299,0.0,535.0,45.714285714285715,53.30769230769231,6,172.22448979591837,166.14285714285714
2017-02-13 11:00:00,146.5,53.6,lid lifted (daytime mixing),1.9305174793463278,3.0138461538461545,0.47224446047404167,0.0,1205.0,24.285714285714285,40.61538461538461,11,252.5714285714286,129.85714285714286
2017-02-16 13:00:00,249.3,16.6,north wind,6.027713011961586,7.127692307692308,3.482936698906077,0.0,975.0,53.57142857142857,37.92307692307692,13,261.7959183673469,68.42857142857143
2017-02-19 15:00:00,161.0,57.0,north wind,5.548019597991293,5.657692307692309,-0.6027411994126867,0.0,2370.0,50.0,32.61538461538461,15,154.26530612244898,104.85714285714286
2017-02-22 18:00:00,132.0,39.7,north wind,5.31500499738822,6.59846153846154,-3.7184834768675907,0.0,2550.0,387.14285714285717,46.38461538461539,18,122.40816326530613,166.14285714285714
2017-02-28 05:00:00,67.6,24.8,north wind,4.9676664935020876,5.309230769230769,-1.5426684742740109,0.0,995.0,89.28571428571429,50.07692307692308,5,57.0,71.28571428571429
2017-03-05 02:00:00,135.7,21.2,north wind,3.711147243734469,4.712307692307693,2.168426665763575,0.0,350.0,452.14285714285717,53.0,2,125.95918367346938,105.85714285714286
2017-04-04 22:00:00,166.2,64.6,unclear,-3.403580536962802,4.035384615384615,-1.6753707282379098,0.0,685.0,710.0,60.30769230769231,22,70.42857142857143,64.57142857142857
2017-04-07 08:00:00,131.9,50.4,unclear,-1.7699875036758157,2.711538461538462,1.7869261888414596,0.0,1155.0,292.85714285714283,57.38461538461539,8,141.18367346938777,127.71428571428571
2017-04-08 12:00:00,122.5,42.9,lid lifted (daytime mixing),1.2319801718745462,4.156153846153846,2.034033200888882,0.0,2075.0,85.71428571428571,31.692307692307693,12,155.0204081632653,27.428571428571427
2017-04-11 07:00:00,75.7,17.1,north wind,5.588796879872799,5.889230769230768,-1.5014788597244448,0.0,2400.0,117.85714285714286,33.38461538461539,7,58.26530612244898,33.0
2017-04-14 17:00:00,67.3,26.9,lid lifted (daytime mixing),-1.2596511008687623,4.888461538461538,-4.455865918178576,0.0,3890.0,275.7142857142857,21.615384615384617,17,64.3469387755102,64.14285714285714
2017-04-17 21:00:00,136.3,50.5,north wind,4.552292503591582,6.7446153846153845,-4.7434535263231545,0.0,3645.0,2223.5714285714284,17.307692307692307,21,74.10204081632654,31.428571428571427
2017-05-05 10:00:00,371.0,142.7,north wind,4.667445968397629,10.003076923076925,-6.907960765416556,0.0,3735.0,336.42857142857144,22.923076923076923,10,264.2244897959184,42.0
2017-05-10 14:00:00,63.1,22.9,lid lifted (daytime mixing),0.7224224875647305,3.819230769230769,-2.883423804779309,0.0,4015.0,126.42857142857143,23.923076923076923,14,73.38775510204081,46.285714285714285
2017-06-07 14:00:00,80.1,26.8,lid lifted (daytime mixing),1.2531280325222143,2.8876923076923076,-1.5248441893251365,0.0,3515.0,175.71428571428572,34.53846153846154,14,58.93877551020408,39.285714285714285
2017-06-21 23:00:00,62.2,24.3,rain,-0.7237876131538267,2.3784615384615386,0.9623970273228362,14.1,1650.0,1585.0,76.61538461538461,23,70.24489795918366,37.285714285714285
2017-06-29 05:00:00,129.0,51.1,unclear,-1.0511983260452946,2.6515384615384616,1.7619976322637656,0.0,945.0,355.7142857142857,65.07692307692308,5,58.306122448979586,59.0
2017-07-06 15:00:00,136.1,32.0,rain,-0.7754933825700866,3.987692307692307,3.548969977337258,51.300000000000004,590.0,264.2857142857143,87.53846153846153,15,80.9591836734694,55.0
2017-07-08 03:00:00,60.4,13.2,unclear,-1.647422971693526,2.922307692307692,1.0297440146361632,0.0,455.0,769.2857142857143,75.07692307692308,3,53.02040816326531,53.57142857142857
2017-07-10 03:00:00,73.4,21.1,unclear,-0.9014368773130302,2.313846153846154,-1.4073097778302548,0.0,265.0,515.0,78.3076923076923,3,58.71428571428571,39.0
2017-07-14 01:00:00,63.5,19.9,unclear,-0.6754757720661879,1.7376923076923074,0.1529841762778914,0.0,90.0,1227.142857142857,72.23076923076923,1,50.79591836734694,34.0
